;Donyell Malen;Emre Can;Felix Nmecha;Gregor Kobel;Ian Maatsen;Jadon Sancho;Julian Brandt;Karim Adeyemi;Marcel Sabitzer;Marco Reus;Mats Hummels;Niclas Fullkrug;Niklas Sule;Salih Ozcan
Donyell Malen;0.0716504475825373;0.109637749911902;0.0384017424346422;0.0781498041491975;0.0964964763901351;0.0745271926553735;0.0683090483380343;0.00498356349964152;0.0975695881739466;0.00298473018073026;0.12678346819545;0.0692721103845019;0.0631598300281696;0.0980742480757375
Emre Can;0.0716485891385187;0.109640950193461;0.0384000682196057;0.0781537675445922;0.0964969594533801;0.0745251932178839;0.0683073685809726;0.00498295939735333;0.0975697274494148;0.00298445212348735;0.126787758191743;0.0692689872305382;0.0631590580311283;0.0980741612279203
Felix Nmecha;0.0716514751074757;0.109635990064192;0.0384027267807771;0.078147435906101;0.0964961914057168;0.0745283740250727;0.0683099763289667;0.00498392423613498;0.0975695204049568;0.00298489008706293;0.126781073545064;0.0692739044952942;0.0631602056706199;0.0980743119425652
Gregor Kobel;0.0716478617243332;0.109642413121806;0.0383994359118577;0.0781550030804987;0.0964970107711723;0.0745244743772471;0.0683067058684046;0.00498273324866012;0.0975697665435787;0.00298434584491907;0.126789546353768;0.069267821498298;0.0631587103214069;0.0980741713340483
Ian Maatsen;0.0716496973687439;0.10963904040733;0.0384010900599289;0.0781513475018156;0.0964966665578112;0.0745264131139349;0.0683083645855402;0.00498332610601211;0.0975696540429481;0.00298462125240829;0.126785189066572;0.0692708766347315;0.0631595006733435;0.0980742126288796
Jadon Sancho;0.0716508708210517;0.109637034648202;0.0384021534105895;0.0781488097283663;0.0964963515887884;0.0745276862486593;0.0683094263658611;0.00498371123505775;0.0975695651305688;0.00298479749991538;0.126782486419217;0.0692728521868061;0.0631599807132761;0.0980742740036404
Julian Brandt;0.0716502795093838;0.109638080532235;0.0384015980512661;0.0781500933792209;0.0964964926475319;0.0745270274229565;0.0683088973626351;0.00498351298639257;0.0975695964692769;0.0029847056568308;0.126783878366709;0.0692718369914394;0.0631597482864006;0.098074252337721
Karim Adeyemi;0.0716534151901639;0.109632660294228;0.0384045070184996;0.0781431373120605;0.0964956438405543;0.0745305092094111;0.0683117335821079;0.00498457097262544;0.0975693717729159;0.00298517993111239;0.126776552940764;0.0692773269936302;0.0631609915957265;0.0980743993462002
Marcel Sabitzer;0.0716495479567168;0.109639380741851;0.038400951973553;0.0781515682247315;0.096496653436986;0.0745262635038252;0.0683082341045104;0.00498328022657201;0.0975696511006118;0.002984597709378;0.126785582250561;0.0692706323537487;0.0631594293713636;0.0980742270455899
Marco Reus;0.0716554889991073;0.109628892349388;0.0384064394689505;0.078138900830185;0.0964952838476207;0.0745327771440377;0.0683135970952138;0.00498526822896491;0.0975692689344678;0.00298550621440578;0.126771693726704;0.0692805799783601;0.0631618050947553;0.0980744980878393
Mats Hummels;0.0716486133575261;0.109640755799392;0.0384000741073049;0.0781539454741464;0.0964970545087538;0.0745251731372201;0.0683073941771859;0.00498296012024573;0.0975697363555709;0.00298445397951904;0.126787625406051;0.0692689833230496;0.0631590992020264;0.0980741310520073
Niclas Fullkrug;0.071651492648647;0.109635946417753;0.038402727657247;0.0781474932337708;0.0964961992709114;0.0745283648210278;0.0683099746070411;0.0049839087854198;0.097569537971971;0.00298489485042695;0.12678104207941;0.069273892489393;0.0631602338172745;0.0980742913497063
Niklas Sule;0.07164968313025;0.109639149585943;0.038401061555411;0.0781513145783461;0.0964966215373836;0.0745263937559522;0.0683083566326595;0.00498331903403042;0.0975696385327389;0.00298461676426934;0.126785278664555;0.0692708392638858;0.0631594949335246;0.0980742320310501
Salih Ozcan;0.0716493279462426;0.109639816483212;0.038400752232636;0.0781519772902576;0.0964966766701404;0.074526033996702;0.0683080325576465;0.00498320745214299;0.0975696633609142;0.00298456494338572;0.12678612416777;0.0692702646322751;0.0631593322664903;0.0980742260001848
