;Alvaro Morata;Angel Correa;Antoine Griezmann;Axel Witsel;Jan Oblak;Koke;Marcos Llorente;Mario Hermoso;Memphis Depay;Nahuel Molina;Pablo Barrios ;Rodrigo de Paul;Rodrigo Riquelme;Samuel Lino;Stefan Savic
Alvaro Morata;0.0362790930578676;0.0231417009387822;0.0984378819134023;0.0738148527950467;0.0194354853208863;0.145661177574805;0.0761335450726921;0.13374484697357;0.0244662447163541;0.0769411427258231;0.0183340024493573;0.10291206241424;0.0311714699375287;0.0558003337497897;0.0837261603598543
Angel Correa;0.0362782621969245;0.0231439266431016;0.0984359935432686;0.0738119166481159;0.0194352048094415;0.145658753309032;0.0761337761280893;0.13374464669565;0.0244668797011979;0.0769481835694492;0.0183342194602554;0.102915532920369;0.0311704249986079;0.0557962756488569;0.0837260037276408
Antoine Griezmann;0.0362796138955543;0.023142657392264;0.0984392573799509;0.0738176885157501;0.0194363156560019;0.145658029705677;0.0761262994597891;0.133755099789426;0.0244666023397192;0.07694264672708;0.0183334370275086;0.102909159261993;0.0311715908579476;0.0557995390597623;0.0837220629315762
Axel Witsel;0.0362788743233479;0.0231428059161283;0.0984382303489998;0.0738159384851152;0.0194359151103561;0.145658964048473;0.0761301353287891;0.133750481422699;0.0244666258268865;0.0769429770818651;0.0183336091254799;0.102912372273926;0.0311711888264486;0.0557987895964145;0.0837230922850721
Jan Oblak;0.0362789426706009;0.0231434148355649;0.0984363795104036;0.0738131338149825;0.0194357211157789;0.145658736498205;0.0761320533671086;0.133746784477142;0.0244668483495355;0.0769459667674141;0.0183339744020946;0.102914532825985;0.0311710309273803;0.0557977986432996;0.0837246817945056
Koke;0.0362793129558153;0.0231419751206975;0.0984381608623524;0.0738160519249272;0.0194359851916356;0.145660080811843;0.0761309923175365;0.133748606885773;0.0244664339230822;0.0769408472612668;0.0183337415147096;0.102911600619199;0.0311716916372375;0.0558004162242536;0.0837241027496711
Marcos Llorente;0.0362785600939101;0.0231435392037355;0.0984363156324456;0.0738125059304766;0.0194354347235014;0.145659119482321;0.0761331683614089;0.133745610528918;0.0244668278170913;0.0769465881251986;0.0183340864592288;0.102915024686557;0.0311706905457823;0.0557970602707813;0.083725468138643
Mario Hermoso;0.0362799885982573;0.0231414698246063;0.0984397695644105;0.0738185368974561;0.019436289761666;0.145659567408557;0.0761274010325914;0.133752943110364;0.0244662219580355;0.0769394954312101;0.0183335059637029;0.102907805471529;0.0311721390158504;0.0558017422617766;0.0837231236999865
Memphis Depay;0.0362793808286345;0.023141828107389;0.0984392488766282;0.0738176638260946;0.0194360762051881;0.145659745518796;0.0761290774437811;0.133751252276051;0.0244663205732145;0.076940273174583;0.0183336027574961;0.102909550399093;0.0311717687415361;0.0558007663693726;0.0837234449021418
Nahuel Molina;0.0362785128561095;0.0231427747143493;0.0984368991799098;0.0738125079568887;0.0194349507545954;0.145660497269671;0.0761349959396965;0.133742867588465;0.0244664434883132;0.0769454689735289;0.0183342536663515;0.102913947914182;0.031170644640492;0.0557978279956499;0.0837274070617968
Pablo Barrios ;0.0362787105217404;0.0231428505898593;0.0984377397900462;0.0738146401726848;0.0194355129751444;0.145659391235286;0.0761317924314261;0.133747637010896;0.0244665491356972;0.0769444524877425;0.0183339418175271;0.102912330725962;0.0311709652279081;0.0557983208154159;0.0837251650626639
Rodrigo de Paul;0.0362786898061107;0.0231436902319136;0.0984370039363999;0.0738137833739923;0.0194356687233452;0.145658252235704;0.0761311338022739;0.133748662684436;0.0244668784783938;0.0769463941860797;0.0183338214792346;0.102914176257992;0.0311707845690359;0.0557971667723173;0.0837238934627707
Rodrigo Riquelme;0.0362798961527959;0.023141329469667;0.0984395539168061;0.0738190811531784;0.0194366813774119;0.145659763341668;0.076127475280554;0.13375352773693;0.0244663394983998;0.07693763067671;0.0183333599315835;0.10290879246915;0.0311723960948878;0.055802290544737;0.0837218823555216
Samuel Lino;0.0362798125356061;0.0231412258328746;0.0984396728215923;0.0738186566325875;0.0194363099326414;0.145660140569856;0.0761285192320938;0.133751818013496;0.0244661979043099;0.0769381100515001;0.0183334688776011;0.102908736255869;0.0311722291411831;0.055802191364386;0.0837229108344034
Stefan Savic;0.0362786150440331;0.0231433736908888;0.0984364700466171;0.0738123157664567;0.0194353073733971;0.145659462206596;0.0761333725116619;0.133745277311179;0.0244667314854402;0.076946634935739;0.0183341454302121;0.102914503446109;0.031170609512466;0.0557970347606632;0.0837261464785415
