;Ben White;Bukayo Saka;David Raya;Declan Rice;Gabriel Jesus;Gabriel Magalhaes;Jakub Kiwior;Jorginho;Kai Havertz;Leandro Trossard;Martin Odegaard;William Saliba
Ben White;0.109989278292956;0.112412554802362;0.0371264922569767;0.0919127301623069;0.0172563526886639;0.109671470553055;0.06403210139948;0.108012039260152;0.0411046420761016;0.0781012901326018;0.111719570347547;0.118661478027797
Bukayo Saka;0.109990118415316;0.112410504877723;0.0371259144585163;0.0919123737879083;0.0172559249756214;0.109671791234944;0.0640329349538126;0.108011714525149;0.0411047990002035;0.0780997570416789;0.111722517396045;0.118661649333081
David Raya;0.109989454370881;0.112412111158421;0.0371263497940785;0.0919126384827551;0.017256271317759;0.10967151860101;0.064032303997568;0.108011936318267;0.0411046691811612;0.0781009579531356;0.111720310026147;0.118661478798815
Declan Rice;0.109989559241978;0.112411935894225;0.0371263048653057;0.0919125988613319;0.0172562261047583;0.109671549671532;0.0640323419410088;0.108011928665148;0.0411046998695506;0.0781007877425454;0.111720532854859;0.118661534287757
Gabriel Jesus;0.109990765661958;0.112408992539321;0.0371254774911565;0.0919120897265779;0.0172556102781946;0.109672011657149;0.0640335376621785;0.108011466811153;0.0411049261832893;0.078098584265159;0.111724751923738;0.118661785800125
Gabriel Magalhaes;0.109989522135608;0.112411972402412;0.0371263127809739;0.0919126117206418;0.0172562392734692;0.109671541403662;0.0640323487537878;0.108011921862927;0.041104685735277;0.0781008416332506;0.111720497264653;0.118661505033337
Jakub Kiwior;0.109989222436865;0.112412793663899;0.0371265396175267;0.0919127346419543;0.0172564068922487;0.10967140645581;0.0640319861376046;0.108012057170922;0.0411046394856816;0.0781014106494947;0.111719339212238;0.118661463635756
Jorginho;0.109989547911529;0.112411909455541;0.0371263047678345;0.0919126104251105;0.0172562204626885;0.109671563681646;0.0640323651088649;0.108011928887259;0.0411046926807764;0.078100798622292;0.111720530941792;0.118661527054666
Kai Havertz;0.109989339016826;0.112412444484095;0.0371264625284846;0.0919127059117902;0.0172563260638021;0.10967148923145;0.0640321309539981;0.108012029975335;0.0411046583706216;0.0781011896315611;0.111719718946969;0.118661504885067
Leandro Trossard;0.109989696808867;0.112411622036868;0.0371262124904824;0.091912537040582;0.0172561612561665;0.109671591485692;0.0640324668240981;0.108011875177189;0.0411047275870414;0.0781005383031044;0.111721007935111;0.118661563054798
Martin Odegaard;0.109988722816339;0.112413997578594;0.0371269023704496;0.0919129694036882;0.0172566454637943;0.109671248016833;0.0640314791564289;0.108012286789411;0.0411045496857469;0.0781023284098369;0.111717472264727;0.118661398044151
William Saliba;0.109989314789365;0.11241245430658;0.0371264567946673;0.0919127075779139;0.0172563370219288;0.10967147620797;0.0640321540321956;0.108012008440736;0.0411046457447087;0.0781012176582889;0.111719758776093;0.118661468649553
