;Ben White;Bukayo Saka;David Raya;Declan Rice;Gabriel Jesus;Gabriel Magalhaes;Gabriel Martinelli;Jakub Kiwior;Jorginho;Kai Havertz;Leandro Trossard;Martin Odegaard;Oleksandr Zinchenko;Thomas Partey;William Saliba
Ben White;0.0946245104599696;0.095652059742442;0.0280362921651879;0.0619037067717746;0.0198275924512639;0.139878227248729;0.0317798348590739;0.0289946496290371;0.0658567735131225;0.0370308581545141;0.0253989789914315;0.129237516725939;0.0697529640579631;0.0173726183377329;0.154653416891818
Bukayo Saka;0.0946247444454719;0.0956529955819457;0.0280358017453245;0.0619035426601082;0.0198274938951683;0.139879655921645;0.0317796728297101;0.028994527420176;0.0658566787162386;0.0370306222750963;0.0253990760747982;0.129237647460223;0.0697532253800832;0.0173726050124954;0.154651710581515
David Raya;0.0946239542255893;0.0956511461559549;0.0280364595174385;0.0619039564644453;0.0198270345146085;0.139880114825973;0.0317798202795412;0.0289949858641807;0.0658573973904835;0.0370303187672578;0.0253984693894203;0.129237214288732;0.0697527203366395;0.017372345694137;0.154654062285598
Declan Rice;0.0946238140519152;0.0956508470818022;0.0280364130981175;0.0619038813623732;0.019827176334002;0.139880183848182;0.0317799928411777;0.0289948769078518;0.0658574806606572;0.0370305611782791;0.0253986283262754;0.129237060612244;0.0697524450407044;0.017372400317381;0.154654238339038
Gabriel Jesus;0.0946249967254829;0.0956525476295245;0.02803547591306;0.0619033995425708;0.0198279808123989;0.139880450957495;0.0317796909927755;0.0289944465687405;0.0658565493796978;0.0370309374472883;0.0253993116742354;0.129237984377418;0.0697526656813412;0.0173728635553269;0.154650698742643
Gabriel Magalhaes;0.0946230027305481;0.0956505469383925;0.0280373095862398;0.0619042119964643;0.0198271707325953;0.139876557075623;0.031780295938055;0.0289949512999969;0.0658575793636968;0.0370308262799304;0.0253986177810594;0.12923631288925;0.0697526841871196;0.0173723876445353;0.154657545556493
Gabriel Martinelli;0.0946250179878288;0.095652059264847;0.0280347735285698;0.0619032332444845;0.019826857878796;0.139887038998187;0.0317794411883116;0.0289947435628612;0.0658574897625223;0.0370297858150211;0.0253984083234313;0.129238143001113;0.0697523469798291;0.0173722647611508;0.154648395703046
Jakub Kiwior;0.0946254737212187;0.0956516837360003;0.028035038416967;0.0619036763359621;0.0198265298825104;0.139887535849154;0.0317789553754316;0.0289952322158732;0.0658573577720525;0.0370291268821534;0.0253980603096275;0.129238591164422;0.0697525477905482;0.0173721747328433;0.154648015815236
Jorginho;0.0946251487578634;0.0956522925087905;0.0280352229648881;0.061903427785343;0.0198271244693121;0.139884133371298;0.0317793964185289;0.0289947737216158;0.0658570633206137;0.0370300206784455;0.0253986179382485;0.129238180653164;0.0697526981106988;0.017372419891934;0.154649479409255
Kai Havertz;0.0946252503271296;0.0956527625356309;0.0280347541015224;0.0619030475366698;0.0198275210795077;0.139884401590714;0.0317795088834997;0.0289944312863081;0.065856972479707;0.0370304900640692;0.0253987981777156;0.129238452114157;0.069752403859187;0.0173725958132073;0.154648610150975
Leandro Trossard;0.094626981998406;0.0956541133981211;0.0280338193270168;0.0619026735875188;0.019827878596351;0.139886161746004;0.0317788325460164;0.0289943938599181;0.0658559446859982;0.0370301452706897;0.025399177827765;0.129239864070406;0.0697532313457372;0.0173727755570296;0.154644006183022
Martin Odegaard;0.0946258139822449;0.0956524142777025;0.0280348286404729;0.0619031641581599;0.0198275539341313;0.139884418047115;0.0317792624882599;0.0289946349457003;0.0658567248017913;0.0370303425673656;0.0253988155149378;0.129238901807912;0.0697524422403484;0.017372621366557;0.154648061227301
Oleksandr Zinchenko;0.0946242629486164;0.0956521497689244;0.0280360917249606;0.0619038263449799;0.0198275142472558;0.139879555548079;0.0317797022043329;0.0289947511515005;0.065856926109335;0.0370305720835235;0.0253988357781347;0.129237514282369;0.0697528539073995;0.0173726529276189;0.15465279097297
Thomas Partey;0.0946258811394275;0.0956530777462263;0.028034840102981;0.0619029998037044;0.019827963044172;0.139882431442277;0.0317795169394571;0.0289942547989913;0.065856348760921;0.0370309008893685;0.0253993843793912;0.12923860356856;0.069752649762085;0.0173728118080679;0.154648335814369
William Saliba;0.094626356720534;0.0956532883670498;0.0280340826908694;0.0619028796223038;0.019827395115131;0.139887241027062;0.0317790230406386;0.0289945083956812;0.0658566426987709;0.037029984819141;0.025398795947746;0.129239285928702;0.0697525907603288;0.0173725597580774;0.154645365107963
