;Bernardo Silva;Erling Haaland;Jack Grealish;John Stones;Josko Gvardiol;Julian Alvarez;Manuel Akanji;Mateo Kovacic;Phil Foden;Rodri;Ruben Dias;Stefan Ortega
Bernardo Silva;0.096558553591346;0.0170076051173518;0.0554182044390834;0.0904331410956931;0.098967245965749;0.00508867555462628;0.116209818629881;0.108608332081944;0.0804674400438228;0.179645946372917;0.108734147105374;0.0428608900022117
Erling Haaland;0.0965598361451753;0.0170074215915653;0.0554187828789951;0.0904345353419042;0.0989668145403396;0.00508843467378579;0.116214471758934;0.108613272172669;0.0804650276419532;0.179639487794177;0.108729528739761;0.04286238672074
Jack Grealish;0.096558477738113;0.0170075918470151;0.0554186489939404;0.0904333534544972;0.0989668596465799;0.00508864018931083;0.116209448372313;0.108608702443041;0.0804672806735346;0.179645486487871;0.108734733297203;0.0428607768565818
John Stones;0.096558994399929;0.0170075423967658;0.05541871882931;0.0904337669607499;0.0989666147912513;0.00508856765208922;0.116210997358504;0.108610148686189;0.0804666991586857;0.179643518545068;0.10873325324538;0.0428611779760781
Josko Gvardiol;0.0965593498234709;0.0170074831738956;0.0554189074976147;0.0904342087275857;0.0989665405527722;0.00508849325242891;0.116212515912956;0.10861175183043;0.080465869918485;0.179641457240371;0.108731725119856;0.0428616969501353
Julian Alvarez;0.09655923429425;0.0170074864812284;0.0554187979174915;0.0904340564360624;0.0989668568090982;0.00508851539914154;0.116212328730685;0.108611425176478;0.0804658945566095;0.179641934479351;0.108731726229799;0.0428617434898053
Manuel Akanji;0.0965597277965865;0.0170074574242068;0.0554194023049845;0.0904346979735774;0.0989655756417643;0.00508840992586855;0.116212850207642;0.108612810386265;0.0804657147757152;0.179639911648031;0.108731888707534;0.0428615532078253
Mateo Kovacic;0.0965590339040276;0.0170075292197513;0.0554191462687987;0.0904340207843608;0.0989660730180629;0.0050885235284934;0.116210792630787;0.108610615319692;0.0804666025136939;0.179642871284949;0.108733752935743;0.0428610385916404
Phil Foden;0.0965588558866919;0.0170075620275563;0.0554184580432837;0.0904335282158764;0.0989669791024865;0.00508861005795666;0.116210738358084;0.108609541741111;0.0804668924439227;0.179644350848203;0.108733326715398;0.0428611565594294
Rodri;0.0965587324335963;0.0170075732032878;0.0554180258581238;0.0904332440003163;0.098967670195835;0.00508866015364146;0.11621092982473;0.108609054198674;0.0804669061741392;0.179645078641106;0.108732765648535;0.0428613596680153
Ruben Dias;0.0965584911382422;0.0170076107852209;0.0554180366249739;0.0904330017178828;0.0989675251616905;0.00508869794314126;0.116209772458651;0.108608041711879;0.0804674916315437;0.179646355080994;0.108734037437953;0.0428609383078276
Stefan Ortega;0.0965596333543555;0.0170074644071835;0.0554192992227134;0.0904345851399764;0.0989657774753715;0.00508842944126361;0.116212717297155;0.108612540063802;0.0804657690251098;0.179640299871838;0.10873192071657;0.0428615639846607
