;Ben White;Bukayo Saka;David Raya;Declan Rice;Eddie Nketiah;Gabriel Jesus;Gabriel Magalhaes;Gabriel Martinelli;Jorginho;Kai Havertz;Leandro Trossard;Martin Odegaard;Takehiro Tomiyasu;William Saliba
Ben White;0.118380834683523;0.0572371150871505;0.0139381162632199;0.119677486102157;0.0102106983499384;0.0152649691997898;0.118961291221015;0.0417535807321959;0.0908220994867837;0.0471247048441891;0.0272487508408971;0.0964100039296946;0.0684682559315736;0.174502093327872
Bukayo Saka;0.118379335914807;0.0572375931270704;0.0139382479029061;0.119677044486076;0.0102109004145546;0.0152650211455229;0.118959970475565;0.0417535423506492;0.0908218010152478;0.0471248883747052;0.0272484285573911;0.0964101598668736;0.068468586756983;0.174504479611648
David Raya;0.118379406484298;0.0572375713351001;0.0139382417606026;0.1196770650244;0.0102108906510399;0.0152650188194741;0.118960031873754;0.0417535442100041;0.0908218151045282;0.0471248794987721;0.027248444089922;0.0964101528046007;0.0684685707418605;0.174504367601644
Declan Rice;0.118379408490565;0.0572375688632773;0.0139382413008402;0.119677066438851;0.0102108899933724;0.0152650185957043;0.118960036695657;0.0417535453721144;0.0908218161686751;0.0471248791528535;0.0272484452345255;0.0964101509332857;0.0684685704099909;0.174504362350288
Eddie Nketiah;0.118377364997806;0.0572382122982193;0.0139384202169271;0.119676467369576;0.0102111680427092;0.0152650881451449;0.118958244671111;0.0417534928157441;0.0908214090684863;0.0471251317894126;0.0272480005268113;0.0964103614141327;0.0684690261035788;0.174507612540342
Gabriel Jesus;0.118380640627196;0.0572371756745009;0.0139381331722164;0.119677429420017;0.010210724676158;0.0152649757626638;0.118961121962472;0.0417535760579845;0.0908220609406992;0.0471247287826419;0.0272487088756968;0.0964100235777037;0.0684682991678962;0.174502401302154
Gabriel Magalhaes;0.118381169732808;0.0572370081458848;0.013938086866252;0.119677584903257;0.0102106533909216;0.0152649575341558;0.118961586241764;0.0417535889742974;0.0908221660857231;0.0471246640101464;0.0272488222930154;0.0964099692454606;0.0684681823209551;0.174501560255359
Gabriel Martinelli;0.118379152688007;0.0572376509155346;0.0139382638763089;0.119676990881285;0.0102109247765649;0.0152650274703875;0.118959810279875;0.041753538253544;0.0908217648448153;0.0471249106018635;0.0272483895693563;0.0964101784227681;0.0684686269921184;0.174504770427572
Jorginho;0.118380970575676;0.0572370712722541;0.0139381042367023;0.119677526366885;0.0102106797951196;0.0152649644742606;0.118961411897683;0.0417535846745837;0.0908221268192972;0.0471246880803317;0.0272487804503063;0.0964099892636182;0.0684682258147699;0.174501876278513
Kai Havertz;0.118379562394409;0.05723751576025;0.0139382275735656;0.119677113208551;0.0102108709480428;0.0152650125698904;0.118960176047725;0.0417535485870137;0.0908218463762191;0.0471248617945122;0.0272484750074786;0.0964101343417511;0.0684685391585505;0.174504116232041
Leandro Trossard;0.118380792638292;0.0572371235779284;0.013938118749325;0.119677476419863;0.0102107001144982;0.0152649706598281;0.118961265736549;0.0417535861718988;0.0908220948347073;0.047124707665947;0.0272487488989726;0.0964100011835782;0.0684682624676034;0.174502150881009
Martin Odegaard;0.11837925088229;0.0572376190050125;0.0139382551079485;0.119677020095765;0.0102109111482037;0.0152650240532358;0.118959898165767;0.0417535414823799;0.0908217848203024;0.0471248983712669;0.0272484115694223;0.0964101672319374;0.0684686050916325;0.174504612974836
Takehiro Tomiyasu;0.11837984749629;0.0572374290293987;0.0139382027837136;0.119677195645347;0.010210830840109;0.0152650034155459;0.118960423165451;0.0417535565673304;0.0908219035755397;0.0471248253978833;0.0272485394548644;0.0964101054881056;0.0684684734627286;0.174503663677694
William Saliba;0.118378202355698;0.0572379548326119;0.0139383473893911;0.11967671052692;0.0102110525830055;0.0152650605482722;0.118958972062018;0.0417535140795658;0.0908215756966493;0.0471250266995509;0.0272481859246353;0.0964102773370475;0.068468836237536;0.174506283727099
