;Emre Can;Gregor Kobel;Ian Maatsen;Jadon Sancho;Jamie Bynoe-Gittens;Julian Brandt;Julian Ryerson;Karim Adeyemi;Marcel Sabitzer;Marco Reus;Mats Hummels;Niclas Fullkrug;Nico Schlotterbeck;Salih Ozcan
Emre Can;0.104589687645665;0.0383309648182386;0.125578287228006;0.0868719204885365;0.00857768633680575;0.116720487046493;0.107561192233073;0.036950167435403;0.0392727483626091;0.00625103261898248;0.127384146610324;0.0378061131237932;0.162065372109722;0.00204019394234786
Gregor Kobel;0.104589336896617;0.0383308575695004;0.12557809080228;0.0868720600928867;0.00857769190780726;0.116720516554292;0.107561591886264;0.0369502137113613;0.0392726945362656;0.00625098296143631;0.127383566584772;0.0378059947875222;0.162066187940071;0.00204021376892525
Ian Maatsen;0.104589756612027;0.0383309823080375;0.125578314830317;0.0868719031105308;0.0085776871995141;0.116720473349152;0.107561093505022;0.0369501667242288;0.0392727596040878;0.00625104512118615;0.127384280230535;0.0378061317472;0.162065216296481;0.00204018936168092
Jadon Sancho;0.104589490965742;0.0383309073264638;0.125578185191609;0.0868719913646288;0.00857768802065806;0.116720509403455;0.107561431145508;0.0369501872164555;0.039272717699026;0.00625100275911328;0.127383806966171;0.0378060501867694;0.162065826193237;0.00204020556116427
Jamie Bynoe-Gittens;0.104590193346054;0.0383311192230557;0.125578569744274;0.0868717198499718;0.00857767842824076;0.116720444017036;0.1075606147342;0.0369501012480776;0.0392728260183228;0.00625110438362267;0.127384984093437;0.0378062834559828;0.162064196145486;0.00204016531224005
Julian Brandt;0.104589736239857;0.0383309791256829;0.125578312754337;0.086871902697955;0.00857768586613229;0.116720481745238;0.107561133759758;0.0369501623135997;0.0392727559235462;0.00625103991811828;0.127384229967325;0.0378061288117044;0.162065259786756;0.00204019108999131
Julian Ryerson;0.104590529782255;0.0383312216295244;0.125578756731059;0.0868715872254994;0.00857767333533246;0.116720414667961;0.107560228851604;0.0369500579251312;0.0392728777121894;0.00625115237026095;0.127385542976991;0.0378063963541213;0.162063414227295;0.00204014621077668
Karim Adeyemi;0.104589721845835;0.0383309756782473;0.125578307614549;0.0868719057536009;0.00857768557516726;0.116720485050983;0.107561155508475;0.0369501619872453;0.0392727535392426;0.00625103715440922;0.127384200976183;0.037806125184828;0.162065292046362;0.00204019208487259
Marcel Sabitzer;0.104589685415379;0.0383309626475111;0.125578281420609;0.0868719255410013;0.00857768718214423;0.116720483959018;0.107561186451636;0.0369501711959337;0.039272748287521;0.00625103343642472;0.12738415101798;0.037806110449247;0.16206537920861;0.00204019378698657
Marco Reus;0.104588174275266;0.0383305048208241;0.125577448126169;0.0868725150845401;0.00857770887000187;0.116720620375331;0.107562932164145;0.0369503606485467;0.0392725155747982;0.00625081627384796;0.127381629035369;0.0378056060536789;0.162068888678429;0.00204028001905218
Mats Hummels;0.104589328187167;0.0383308532196483;0.125578080758123;0.0868720682753456;0.00857769296323665;0.116720513587253;0.107561592379556;0.0369502187889677;0.0392726935054511;0.00625098301215479;0.127383561357351;0.0378059896683929;0.162066210355147;0.00204021394220691
Niclas Fullkrug;0.104589831786774;0.0383310091252601;0.125578368661801;0.0868718624699527;0.00857768392114291;0.116720475438495;0.107561029283012;0.0369501478802209;0.0392727704453666;0.00625105284839006;0.127384383708284;0.037806162056163;0.162065036537404;0.00204018583773454
Nico Schlotterbeck;0.104590046747206;0.0383310769796343;0.125578495556195;0.0868717709744438;0.00857767935203028;0.116720462012201;0.10756079622417;0.0369501145712798;0.0392728030494841;0.00625108166359788;0.127384727619132;0.037806237332179;0.162064533830245;0.00204017408820286
Salih Ozcan;0.104589810667172;0.0383310012913887;0.125578352626809;0.0868718747308343;0.00857768500633455;0.116720474162322;0.107561045658946;0.0369501538667074;0.0392727674438354;0.00625105090599392;0.127384356259447;0.0378061531612197;0.162065087447078;0.00204018677191052
