;Alvaro Morata;Angel Correa;Antoine Griezmann;Axel Witsel;Cesar Azpilicueta;Jan Oblak;Jose Gimenez;Koke;Marcos Llorente;Mario Hermoso;Nahuel Molina;Pablo Barrios ;Rodrigo de Paul;Rodrigo Riquelme;Saul Niguez
Alvaro Morata;0.0381625938786412;0.0317315857724172;0.0932327704750429;0.0914360001870581;0.0198869045472697;0.0226480923229124;0.0551898424041186;0.126442301517212;0.0946929728908995;0.124553468101649;0.0614233002276659;0.0776033404259357;0.0959362272601658;0.0616995789367696;0.00536102105224258
Angel Correa;0.0381620636717464;0.0317318791205003;0.0932335003751106;0.0914346186631362;0.0198873094817418;0.0226481057290839;0.0551895591026801;0.126441363357247;0.0946917391297032;0.124555640540583;0.0614217340900253;0.0776042396363512;0.0959362123090442;0.0617008371928678;0.00536119760018005
Antoine Griezmann;0.0381619625086561;0.0317319397250418;0.093233865463238;0.0914344211477403;0.0198873732161271;0.0226480897391115;0.0551895734373077;0.126441268140579;0.0946915242535113;0.1245557250899;0.0614213983708941;0.0776043540586739;0.0959360425231272;0.0617012031929325;0.00536125913316021
Axel Witsel;0.0381632078234142;0.0317312463061975;0.0932317769963477;0.0914375484794212;0.0198864423216296;0.0226480902706476;0.0551901283716574;0.126443331927839;0.0946943981872904;0.124551199408552;0.0614251236630731;0.0776023339055683;0.0959363401701878;0.0616980353693595;0.00536079679881401
Cesar Azpilicueta;0.0381617672884023;0.0317320608459369;0.0932334945077996;0.0914336714288394;0.0198875643474678;0.0226481512613191;0.055189264915415;0.126440660420046;0.0946910156431968;0.124557635125116;0.0614208202478893;0.0776048568214779;0.095936480025291;0.0617013166411742;0.00536124048062892
Jan Oblak;0.0381630283305785;0.0317313363970908;0.0932327603983525;0.0914373589925142;0.0198865424537857;0.0226480327273406;0.0551902491384086;0.126443304025399;0.0946940050089291;0.124550684619505;0.0614245551549296;0.0776024567905935;0.0959358372723702;0.0616988924745518;0.00536095621565092
Jose Gimenez;0.0381616669761879;0.0317321113433908;0.0932340767932635;0.0914335759584442;0.0198876167222551;0.0226481172271251;0.0551893449677728;0.126440658793648;0.0946908043972024;0.124557302810948;0.0614204969593879;0.0776049145577116;0.0959361676561392;0.061701811626477;0.00536133321004633
Koke;0.0381625458132912;0.0317316319528548;0.0932324814536533;0.0914357273013554;0.0198869744167328;0.0226481296624829;0.0551896862275712;0.126442054565844;0.0946928028183752;0.124554359740049;0.0614230905420761;0.077603531974988;0.0959364672596173;0.0616995243730376;0.00536099189807125
Marcos Llorente;0.038163223290327;0.0317312301066547;0.0932321600330342;0.0914377530522676;0.0198864159669779;0.0226480558164217;0.0551902473214666;0.126443516708193;0.0946944249143545;0.124550422393848;0.0614251523347488;0.0776022153729563;0.0959360843724525;0.0616982490341329;0.00536084928216465
Mario Hermoso;0.0381609753518368;0.0317324239886329;0.0932366536792472;0.091432414082917;0.0198879972688357;0.0226479753072209;0.0551895627639574;0.126440157399172;0.0946894594547368;0.124557099239853;0.061418672233138;0.0776055921215203;0.0959350130924405;0.0617042366335556;0.00536176738293617
Nahuel Molina;0.0381633075137434;0.0317311619720976;0.0932327387190123;0.0914382353719498;0.0198862939119148;0.0226479885257654;0.0551905337328248;0.126443964316616;0.0946947195309763;0.124548833593626;0.0614254507366079;0.0776018690236013;0.0959355958464903;0.061698398458566;0.00536090874620763
Pablo Barrios ;0.0381608525613887;0.0317324870353652;0.093237054665361;0.0914321788462938;0.0198880732340102;0.0226479574238098;0.0551895751434356;0.126440036918157;0.0946892027628186;0.124557201893724;0.0614183144019919;0.0776057347061214;0.0959348443946927;0.0617046484422634;0.00536183757056727
Rodrigo de Paul;0.0381626897705147;0.0317315153578552;0.0932333346238108;0.0914365100934195;0.0198867780004525;0.022648026448341;0.0551901279351373;0.126442764122981;0.0946932810051669;0.124551854509304;0.0614236082897778;0.0776029804511077;0.09593573843762;0.0616997131981984;0.00536107775631346
Rodrigo Riquelme;0.0381606118510734;0.0317327670692185;0.0932337973249486;0.0914301164592044;0.0198885540582376;0.0226483066261026;0.0551881947632218;0.126438039653159;0.0946881609250176;0.124564867161135;0.0614172044813327;0.0776071982940007;0.0959373124968993;0.0617034120096942;0.00536145682675462
Saul Niguez;0.0381619378579671;0.031731996707739;0.0932321229677417;0.091433682930874;0.0198875138301886;0.0226482528101934;0.0551889844793837;0.126440488070836;0.0946913016936285;0.124558965028279;0.0614212735851385;0.0776048793057335;0.0959372572180817;0.061700307598277;0.00536103591593846
