;Andriy Lunin;Antonio Rudiger;Brahim Diaz;Dani Carvajal;Eduardo Camavinga;Federico Valverde;Ferland Mendy;Jude Bellingham;Luka Modric;Nacho Fernandez;Rodrygo;Toni Kroos;Vinicius Junior
Andriy Lunin;0.0858884473463477;0.129727008582868;0.00593631398722888;0.0799761001513216;0.0947393757762981;0.0881413999216437;0.0973223781601061;0.0858495660645667;0.00957224937531004;0.0878241493048483;0.0749616548890004;0.0966553592782789;0.0634059971621817
Antonio Rudiger;0.0858927303489814;0.129717176951322;0.00593675233308732;0.0799800092035207;0.0947365424418724;0.0881413334773529;0.0973211995365809;0.0858510856816644;0.00957177948922953;0.0878246230740934;0.0749637210687804;0.0966583014240643;0.0634047449694507
Brahim Diaz;0.0858894945814218;0.129719930941967;0.00593656220801262;0.079977679669068;0.0947387231983051;0.0881413460565613;0.0973227076928412;0.0858506450998145;0.00957189173291366;0.0878235445553809;0.0749635806798429;0.096657813629948;0.0634060799539228
Dani Carvajal;0.0858901494135816;0.129719482402592;0.00593659738170828;0.0799781376975175;0.0947382825085443;0.0881413452109536;0.0973223864912457;0.0858507167001411;0.00957187463941083;0.0878237808566941;0.0749635760002312;0.0966578714243155;0.0634057992730642
Eduardo Camavinga;0.0858903969452367;0.129718795372141;0.00593662610430594;0.0799783781874311;0.0947381202591841;0.088141340991372;0.0973223346869421;0.0858508222102886;0.00957184126458762;0.0878237896814455;0.0749637302655353;0.0966580855349325;0.0634057384965981
Federico Valverde;0.0858896299323708;0.129719418540582;0.00593658208219612;0.0799778290758153;0.0947386365907059;0.0881413449451862;0.0973226975626755;0.0858507227523897;0.00957186630679283;0.0878235282958107;0.0749637058827998;0.0966579800678921;0.0634060579647827
Ferland Mendy;0.0858909120015386;0.129717847491909;0.00593667185086431;0.0799788177729674;0.0947377763513753;0.0881413335801883;0.0973221632348831;0.0858509702133228;0.0095717970967668;0.0878238815621745;0.0749639093152191;0.0966583521557647;0.0634055673730265
Jude Bellingham;0.0858894619637785;0.12971891548858;0.00593659117899008;0.0799777959788889;0.0947387577719279;0.0881413377197274;0.0973228589738308;0.0858507969892148;0.00957183887210703;0.0878233735763355;0.0749638945986612;0.0966581955303385;0.0634061813576198
Luka Modric;0.0858895408969466;0.129720604419891;0.00593654263902261;0.0799776190847414;0.0947386906116519;0.0881413511661815;0.0973225896215288;0.0858505412126349;0.00957192742151614;0.0878236709581521;0.0749633643826852;0.0966575553676454;0.0634060022174019
Nacho Fernandez;0.0858910229941539;0.129720162916023;0.00593660588381315;0.0799785762217798;0.0947376797256961;0.0881413516761417;0.0973217907071729;0.0858506211280629;0.00957191819269835;0.0878242921679372;0.0749631812891597;0.0966574763709569;0.0634053207264041
Rodrygo;0.0858889323842924;0.129718817750129;0.00593657728216372;0.0799774872647584;0.0947391174189441;0.0881413378556616;0.0973231775063993;0.0858508078587971;0.00957182820929432;0.0878231146276634;0.0749640385804071;0.096658319771182;0.0634064434903082
Toni Kroos;0.0858901202006395;0.129718952359078;0.00593661200908292;0.07997818874207;0.0947383081072439;0.0881413418018202;0.0973224748894353;0.0858507962580332;0.00957184686986122;0.0878236844657424;0.0749637413572451;0.0966580723986279;0.0634058605411205
Vinicius Junior;0.0858895268799022;0.129717864245378;0.00593662479499317;0.0799779745046901;0.0947387248343832;0.0881413322689108;0.0973229608220493;0.0858509547749413;0.00957178476412313;0.0878232419312667;0.0749641985218512;0.0966585734415789;0.0634062382159317
