;Emre Can;Gregor Kobel;Ian Maatsen;Jadon Sancho;Julian Brandt;Julian Ryerson;Karim Adeyemi;Marcel Sabitzer;Marco Reus;Mats Hummels;Niclas Fullkrug;Nico Schlotterbeck
Emre Can;0.12551540533951;0.0410934107123986;0.136999960324203;0.0647880733735613;0.147836524238833;0.0752554435029229;0.0606547945977263;0.04192440194421;0.0366306740822579;0.0413852842122582;0.103296789293469;0.12461923837865
Gregor Kobel;0.125516221150176;0.0410936163967952;0.137000657492095;0.0647849227730463;0.14783660864797;0.0752562516364112;0.0606549493064099;0.0419250129088294;0.0366309226168298;0.0413843061401425;0.103296590594377;0.124619940336918
Ian Maatsen;0.125515783722286;0.0410932325178446;0.136999538885295;0.0647856750286114;0.147836846863714;0.0752570875006951;0.0606547142924915;0.0419253123728619;0.0366309662713349;0.0413845469691909;0.103296417509543;0.124619878066131
Jadon Sancho;0.125514129683623;0.0410933182122545;0.136999482520058;0.0647929255295492;0.147836120374554;0.0752540385191734;0.0606545133479814;0.0419234090218736;0.0366302938008053;0.0413867543916675;0.103297150837489;0.124617863760972
Julian Brandt;0.125515641571194;0.0410934122300071;0.136999733306502;0.0647869817189597;0.147836661043162;0.0752562162720633;0.0606547511420107;0.0419248704067533;0.036630770969623;0.041384899870773;0.103296700493503;0.124619360975449
Julian Ryerson;0.125515686929127;0.0410928369630074;0.136997439696606;0.0647829910263319;0.147837336094394;0.0752616818747212;0.0606539264723714;0.0419277187900057;0.0366314693959566;0.0413834885050851;0.10329576710387;0.124619657148524
Karim Adeyemi;0.125516003266535;0.0410934268192712;0.136999873569332;0.0647854503542606;0.147836775748945;0.0752567521073968;0.0606548103331443;0.0419252205450728;0.0366309086769946;0.041384437662906;0.103296558038986;0.124619782877156
Marcel Sabitzer;0.125515336906062;0.0410930264535584;0.136998390887828;0.064785995940112;0.147836948266037;0.0752587745856244;0.0606542575165444;0.041926118556559;0.0366310715246672;0.041384523716121;0.103296243249653;0.124619312397234
Marco Reus;0.125515763455138;0.0410932341653834;0.136999189374089;0.064785685450169;0.147836900403369;0.0752575077874861;0.060654619547867;0.0419255518021993;0.0366309606139788;0.0413844854192467;0.103296440736645;0.124619661244429
Mats Hummels;0.125515671469473;0.0410933625944302;0.136999801706029;0.0647869206727125;0.14783669640939;0.0752560335022356;0.0606548166459276;0.0419247596855213;0.0366307779760977;0.0413849255231701;0.103296670959297;0.124619562855716
Niclas Fullkrug;0.125515319609379;0.0410932500395834;0.136999430818854;0.0647873766838273;0.147836650664937;0.0752566706386151;0.0606545785328288;0.0419250134597801;0.0366308360020643;0.0413850399999279;0.103296556565714;0.12461927698449
Nico Schlotterbeck;0.125515882186548;0.0410933524213624;0.136999824967685;0.0647864540126592;0.147836804907381;0.0752559223611139;0.0606549326069075;0.0419247375113388;0.0366307806394349;0.0413848034533278;0.103296674574224;0.124619830358018
