;Achraf Hakimi;Beraldo;Bradley Barcola;Fabian Ruiz;Gianluigi Donnarumma;Goncalo Ramos;Kang-In Lee;Kylian Mbappe;Marco Asensio;Marquinhos;Nuno Mendes;Ousmane Dembele;Vitinha Ferreira;Warren Zaire-Emery
Achraf Hakimi;0.141459071035148;0.129806167607535;0.0185563446702531;0.0722806399533971;0.0188265082061227;0.0144004429321629;0.0234234899665318;0.0563789519321709;0.0173600649462311;0.138542712519172;0.100235935851098;0.0975645077919759;0.0985468013572937;0.0726183612309087
Beraldo;0.141463237847022;0.129809156194564;0.0185567746961778;0.0722800671684269;0.0188262799459331;0.0144009223587509;0.0234230318435643;0.0563796117532715;0.0173600535220622;0.138539302995977;0.100236313056769;0.0975604550020204;0.098545526773602;0.0726192668418602
Bradley Barcola;0.14145660241366;0.129806756024951;0.0185563649368281;0.0722811057685375;0.0188265426491253;0.0144003911391815;0.0234233929330588;0.0563793414260243;0.0173602458517788;0.138543314063761;0.100236552208175;0.0975645366654501;0.0985476197645988;0.0726172341548686
Fabian Ruiz;0.141454577045055;0.129805639136456;0.0185561537942472;0.0722813228211162;0.0188266452488567;0.0144001484888101;0.0234236320914531;0.0563790353025484;0.0173602574322515;0.138544739155163;0.100236149923178;0.0975667050422213;0.0985482584568098;0.0726167360618333
Gianluigi Donnarumma;0.141455879914383;0.129805586693518;0.0185561648257978;0.0722810745510153;0.0188266176926749;0.0144001924206089;0.0234236568486653;0.0563788949108531;0.0173601769948051;0.138544262859166;0.100235849325453;0.0975665370461167;0.0985478345035406;0.0726172714134031
Goncalo Ramos;0.141458033975955;0.129806654058817;0.0185563704228223;0.0722808279878109;0.0188265138996901;0.0144004338040821;0.0234234296310885;0.0563791700695635;0.0173601538068493;0.138542812840787;0.100236192545408;0.0975644180058246;0.0985471543882581;0.0726178345630441
Kang-In Lee;0.141455922221999;0.129805614866473;0.0185561145346501;0.0722809641823691;0.0188266216986062;0.0144001415671218;0.0234237439888146;0.0563787761686966;0.0173601525808173;0.138544180387371;0.100235401481007;0.0975672119701269;0.0985478377492879;0.0726173166026593
Kylian Mbappe;0.141459604919727;0.129807513123775;0.0185565429588114;0.0722806776155114;0.0188264335452088;0.0144006310207623;0.0234232291874766;0.0563794268944844;0.0173601485043307;0.138541720946755;0.100236581258438;0.0975626175837211;0.0985466557776985;0.0726182166632993
Marco Asensio;0.141457269779722;0.129807107802146;0.0185564182346805;0.0722810056890419;0.0188265117405252;0.014400454521834;0.0234233406839409;0.056379403002899;0.0173602342465324;0.138542844505221;0.100236561051731;0.0975640250366228;0.0985474122021555;0.0726174115029479
Marquinhos;0.14145279572009;0.129803729699607;0.0185558752078565;0.0722814930735874;0.0188267731423101;0.0143998594838666;0.0234239617790103;0.056378494599511;0.0173602059348555;0.138546562613848;0.100235591930227;0.0975693456685664;0.0985487908240793;0.0726165203225851
Nuno Mendes;0.141452914664103;0.129804321965956;0.0185559983524906;0.0722816034794339;0.0188267380427895;0.0143999763316819;0.0234237828130667;0.0563788013477354;0.0173602663982731;0.138546201599328;0.10023620935042;0.0975680451488205;0.0985487544954938;0.0726163860104073
Ousmane Dembele;0.141458078535283;0.129806431414416;0.0185562943845408;0.0722807103013462;0.0188265290832154;0.0144003614651216;0.0234235498328829;0.0563789747170675;0.0173601119596105;0.138542888473635;0.100235686156241;0.0975652954252631;0.0985471475754014;0.0726179406759755
Vitinha Ferreira;0.141457974372961;0.129806774105928;0.0185563720945813;0.0722808234510769;0.0188265117590351;0.0144004314043818;0.0234234294636238;0.0563791883477377;0.0173601609292309;0.138542755333812;0.100236153027937;0.0975644577615361;0.0985471798471568;0.0726177881010024
Warren Zaire-Emery;0.141456959872678;0.129805808629788;0.0185562200280944;0.0722809122627761;0.0188265803727308;0.0144002709969973;0.0234236109690013;0.0563789031001354;0.017360137162639;0.138543714248029;0.100235815845467;0.097565938577304;0.0985474883114036;0.0726176396229561
